"","GEOID","NAME","pop","blk_tot","wht_tot","hsp_tot","aapi_tot","hhs","renter_hh","owner_hh","med_inc","year","pct_wht","pct_blk","pct_hsp","pct_aapi","rent_pct","tract"
"188",42101039002,"Census Tract 390.02, Philadelphia County, Pennsylvania",4745,2360,1074,2086,17,1548,423,1580,45017,2020,22.6343519494204,49.736564805058,43.9620653319283,0.35827186512118,27.3255813953488,"039002"
"189",42101020702,"Census Tract 207.02, Philadelphia County, Pennsylvania",1781,259,1275,85,94,627,187,567,33234,2020,71.5889949466592,14.5423919146547,4.77259966311061,5.27793374508703,29.8245614035088,"020702"
"190",42101012502,"Census Tract 125.02, Philadelphia County, Pennsylvania",3467,378,2090,230,856,2401,2012,401,63859,2020,60.282665128353,10.9027978079031,6.63397750216325,24.689933660225,83.7984173261141,"012502"
"191",42101012501,"Census Tract 125.01, Philadelphia County, Pennsylvania",2182,265,1469,93,364,1126,977,0,34566,2020,67.3235563703025,12.1448212648946,4.26214482126489,16.6819431714024,86.7673179396092,"012501"
"192",42101001203,"Census Tract 12.03, Philadelphia County, Pennsylvania",1827,37,1596,224,109,1070,861,345,61901,2020,87.3563218390805,2.02517788724685,12.2605363984674,5.96606458675424,80.4672897196262,"001203"
"193",42101000702,"Census Tract 7.02, Philadelphia County, Pennsylvania",2114,218,1076,190,648,1483,1395,141,49137,2020,50.8987701040681,10.3122043519395,8.98770104068117,30.6527909176916,94.0660822656777,"000702"
"194",42101980906,"Census Tract 9809.06, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0,NA,2020,NA,NA,NA,NA,NA,"980906"
"195",42101025900,"Census Tract 259, Philadelphia County, Pennsylvania",4400,4175,76,18,13,1928,256,1485,25598,2020,1.72727272727273,94.8863636363636,0.409090909090909,0.295454545454545,13.2780082987552,"025900"
"196",42101034801,"Census Tract 348.01, Philadelphia County, Pennsylvania",4739,192,4293,277,186,2030,1036,1223,26759,2020,90.5887317999578,4.05148765562355,5.84511500316523,3.92487866638531,51.0344827586207,"034801"
"197",42101026400,"Census Tract 264, Philadelphia County, Pennsylvania",5728,5646,82,22,0,2183,1195,1323,30552,2020,1.43156424581006,98.5684357541899,0.384078212290503,0,54.7411818598259,"026400"
